id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhyjjym00shl404wdikxsrt,LH-NACLO-2015-A,NACLO 2015 Problem A,NACLO,2015,2,/olympiad-problems/NACLO/by-year/2015/naclo-2015-A-problem.pdf,2,morphology-noun,"pattern-recognition,indo-european,europe,beginner-friendly","Danish vs Swedish article systems; definite article patterns and noun agreement"
cmhhyjpbd00sll404mezfipct,LH-NACLO-2015-B,NACLO 2015 Problem B,NACLO,2015,2,/olympiad-problems/NACLO/by-year/2015/naclo-2015-B-problem.pdf,3,phonology,"reconstruction,correspondence,indo-european,europe,ancient","Ancient to Modern Greek sound changes; systematic phonological correspondences and historical linguistics"
cmhhyjuuh00spl4045nj97c6q,LH-NACLO-2015-C,NACLO 2015 Problem C,NACLO,2015,2,/olympiad-problems/NACLO/by-year/2015/naclo-2015-C-problem.pdf,3,phonology,"logical-reasoning,rule-discovery,native-american,americas","Aymara phonotactics; formal constraint types (Counting Mod 2, Strictly 2-Local, Strictly 2-Piecewise)"
cmhhyk07m00stl404fqs8near,LH-NACLO-2015-D,NACLO 2015 Problem D,NACLO,2015,2,/olympiad-problems/NACLO/by-year/2015/naclo-2015-D-problem.pdf,2,writing-systems,"pattern-recognition,indo-european,europe,ancient,extinct","Elder Futhark runic alphabet; Old Norse god names matching"
cmhhyk7r800sxl4047o96whv1,LH-NACLO-2015-E,NACLO 2015 Problem E,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-E-problem.pdf,3,other,"logical-reasoning,syntax,multi-step,complex-data","Yoda-speak inversion transduction grammar; hierarchical word reordering and combinatorics"
cmhhykd3z00t1l404ud57c4f3,LH-NACLO-2015-F,NACLO 2015 Problem F,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-F-problem.pdf,2,semantics,"pattern-recognition,logical-reasoning,sino-tibetan,asia","Japanese name compounds; matching place/person names to literal English translations"
cmhhykigr00t5l404ezz3vmy2,LH-NACLO-2015-G,NACLO 2015 Problem G,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-G-problem.pdf,3,semantics,"logical-reasoning,pattern-recognition,multi-step","Scalar adjective relationships; determining intensity orderings and multiple semantic scales"
cmhhyknyu00t9l404flu5guea,LH-NACLO-2015-H,NACLO 2015 Problem H,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-H-problem.pdf,4,writing-systems,"correspondence,tai-kadai,asia,complex-data","Shan and Lao scripts; correspondence between related Brahmi-derived writing systems with tone marking"
cmhhykt9000tdl404zeotwo0p,LH-NACLO-2015-I,NACLO 2015 Problem I,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-I-problem.pdf,2,morphology-noun,"indo-european,europe,ancient,extinct,translation","Old English dual pronouns and case system; translating between Old and Modern English"
cmhhykyp300thl4041qw60o96,LH-NACLO-2015-J,NACLO 2015 Problem J,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-J-problem.pdf,3,morphology-verb,"pattern-recognition,segmentation,caucasian,asia","Georgian transitive verbs; present and perfect tense conjugations with person/number agreement"
cmhhyl3ze00tll404wu1dflts,LH-NACLO-2015-K,NACLO 2015 Problem K,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-K-problem.pdf,4,other,"logical-reasoning,multi-step,complex-data,native-american","Turing machines for Navajo morphology; designing multi-state machines for linguistic transformations"
cmhhyl9fn00tpl404rvyegkx7,LH-NACLO-2015-L,NACLO 2015 Problem L,NACLO,2015,3,/olympiad-problems/NACLO/by-year/2015/naclo-2015-L-problem.pdf,3,number-systems,"logical-reasoning,pattern-recognition,austronesian,africa","Malagasy crossnumber puzzle; decoding number system and solving arithmetic constraints"
cmhhyleq100ttl404932nds9l,LH-NACLO-2015-M,NACLO 2015 Problem M,NACLO,2015,4,/olympiad-problems/NACLO/by-year/2015/naclo-2015-M-problem.pdf,4,other,"logical-reasoning,multi-step,complex-data","Minimum spelling trees; graph optimization for encoding German noun declensions with minimal edit distance"
cmhhylk6j00txl404l9mmhct3,LH-NACLO-2015-N,NACLO 2015 Problem N,NACLO,2015,4,/olympiad-problems/NACLO/by-year/2015/naclo-2015-N-problem.pdf,3,semantics,"pattern-recognition,logical-reasoning,native-american,americas,rare-language","Maxakalí compositional semantics; matching compound words to English meanings via semantic composition"
cmhhylre100u1l404o07uuovv,LH-NACLO-2015-O,NACLO 2015 Problem O,NACLO,2015,4,/olympiad-problems/NACLO/by-year/2015/naclo-2015-O-problem.pdf,4,syntax,"hmong-mien,asia,translation,pattern-recognition,complex-data","Hmong Daw word order and semantics; 31 phrases with complex syntax, dual pronouns, and translation"
cmhhylwu500u5l404zm0s47hc,LH-NACLO-2015-P,NACLO 2015 Problem P,NACLO,2015,4,/olympiad-problems/NACLO/by-year/2015/naclo-2015-P-problem.pdf,3,syntax,"logical-reasoning,pattern-recognition","Syntactic ambiguity; garden path sentences with local structural ambiguity and part-of-speech changes"
