id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhyxc7h0129l404lnk8i4dy,LH-NACLO-2020-A,NACLO 2020 Problem A,NACLO,2020,2,/olympiad-problems/NACLO/by-year/2020/naclo-2020-A-problem.pdf,2,morphology-verb,"pattern-recognition,rule-discovery,niger-congo,africa","Mongo (Bantu) verb conjugation with phonological rules; ordered rule application with vowel deletion and hiatus resolution"
cmhhyxhlr012dl4042rv3rg0l,LH-NACLO-2020-B,NACLO 2020 Problem B,NACLO,2020,2,/olympiad-problems/NACLO/by-year/2020/naclo-2020-B-problem.pdf,2,syntax,"pattern-recognition,translation,sino-tibetan,asia","Chintang sentence matching and translation; basic morphological analysis with case markers and possessives"
cmhhyxmv3012hl404ei70w7sw,LH-NACLO-2020-C,NACLO 2020 Problem C,NACLO,2020,2,/olympiad-problems/NACLO/by-year/2020/naclo-2020-C-problem.pdf,3,writing-systems,"pattern-recognition,correspondence,indo-european,middle-east,ancient,extinct","Old Persian cuneiform syllabary; matching script to transcriptions with systematic correspondences"
cmhhyxs9h012ll404bz60vm96,LH-NACLO-2020-D,NACLO 2020 Problem D,NACLO,2020,2,/olympiad-problems/NACLO/by-year/2020/naclo-2020-D-problem.pdf,2,other,"logical-reasoning,pattern-recognition,multi-step","BERT attention heads; computational linguistics problem about neural network attention mechanisms for syntactic relations"
cmhhyxxi3012pl404ugpkrlj2,LH-NACLO-2020-E,NACLO 2020 Problem E,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-E-problem.pdf,3,number-systems,"pattern-recognition,logical-reasoning,indo-european,europe","Breton vigesimal number system with complex formations; unusual dual plural formation connection"
cmhhyy3wu012tl404u82k23oq,LH-NACLO-2020-F,NACLO 2020 Problem F,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-F-problem.pdf,3,syntax,"pattern-recognition,austronesian,asia,oceania","Paiwan focus marking system; syntactic focus constructions with word order and morphological changes"
cmhhyyc92012xl404rlvbg4lk,LH-NACLO-2020-G,NACLO 2020 Problem G,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-G-problem.pdf,3,syntax,"logical-reasoning,rule-discovery,multi-step","English question formation and negation rules; poverty of stimulus problem in language acquisition"
cmhhyyhp30131l404kly61gzk,LH-NACLO-2020-H,NACLO 2020 Problem H,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-H-problem.pdf,3,writing-systems,"pattern-recognition,correspondence,indo-european,europe,ancient,extinct","Cypriot syllabary for ancient Greek; deciphering syllabic script from Idalion Tablet inscription"
cmhhyymz70135l404wk9j87u4,LH-NACLO-2020-I,NACLO 2020 Problem I,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-I-problem.pdf,2,semantics,"pattern-recognition,logical-reasoning,tai-kadai,asia","Thai semantic composition; matching phrases to meanings with tonal distinctions and compound formation"
cmhhyysfb0139l404l63zcxj5,LH-NACLO-2020-J,NACLO 2020 Problem J,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-J-problem.pdf,3,morphology-verb,"pattern-recognition,segmentation,native-american,americas,rare-language","Iñapari verb morphology; complex person/number marking with negation and desiderative constructions"
cmhhyyxpb013dl404h3tvpxb5,LH-NACLO-2020-K,NACLO 2020 Problem K,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-K-problem.pdf,4,writing-systems,"pattern-recognition,correspondence,hmong-mien,asia","Large Flowery Miao Pollard script; matching vertical script to romanized transcription with text reconstruction"
cmhhyz2z7013hl404t9m1fy7e,LH-NACLO-2020-L,NACLO 2020 Problem L,NACLO,2020,3,/olympiad-problems/NACLO/by-year/2020/naclo-2020-L-problem.pdf,4,phonology,"logical-reasoning,rule-discovery,multi-step,indo-european,asia,ancient","Sanskrit Shiva Sutras pratyāhāras; formal phonological rules in ancient grammar with metalinguistic reasoning"
cmhhyz8f2013ll40440f0u98k,LH-NACLO-2020-M,NACLO 2020 Problem M,NACLO,2020,4,/olympiad-problems/NACLO/by-year/2020/naclo-2020-M-problem.pdf,3,semantics,"logical-reasoning,pattern-recognition,austronesian,asia","Indonesian spam detection; semantic appropriateness of food adjectives without language knowledge"
cmhhyzdph013pl4040othmhjn,LH-NACLO-2020-N,NACLO 2020 Problem N,NACLO,2020,4,/olympiad-problems/NACLO/by-year/2020/naclo-2020-N-problem.pdf,4,semantics,"logical-reasoning,multi-step,complex-data","TruthBot semantic inference; compositionality and entailment with referential ambiguity and scope issues"
