id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhz8laq01a9l404coeho0w6,LH-NACLO-2025-A,NACLO 2025 Problem A,NACLO,2025,2,/olympiad-problems/NACLO/by-year/2025/naclo-2025-A-problem.pdf,2,morphology-verb,"pattern-recognition,segmentation,native-american,americas,beginner-friendly","Totonac directional verb morphology; spatial deixis system with 9 examples; clear pattern"
cmhhz8qss01adl404u6zmcw8s,LH-NACLO-2025-B,NACLO 2025 Problem B,NACLO,2025,2,/olympiad-problems/NACLO/by-year/2025/naclo-2025-B-problem.pdf,3,morphology-verb,"pattern-recognition,rule-discovery,segmentation,tai-kadai,asia","Kri derivational morphology; causative/stative patterns; multiple interacting affixes"
cmhhz8w4s01ahl404vbprexg2,LH-NACLO-2025-C,NACLO 2025 Problem C,NACLO,2025,2,/olympiad-problems/NACLO/by-year/2025/naclo-2025-C-problem.pdf,3,semantics,"logical-reasoning,pattern-recognition,multi-step","Berlin-Kay color term universals; logical deduction about semantic hierarchies"
cmhhz91n101all40451mwmwms,LH-NACLO-2025-D,NACLO 2025 Problem D,NACLO,2025,2,/olympiad-problems/NACLO/by-year/2025/naclo-2025-D-problem.pdf,3,other,"logical-reasoning,pattern-recognition,multi-step","Machine translation pivot languages; computational linguistics; set operations"
cmhhz98w901apl404gmoro25y,LH-NACLO-2025-E,NACLO 2025 Problem E,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-E-problem.pdf,3,writing-systems,"pattern-recognition,correspondence,indo-european,asia,ancient","Armenian script decipherment; alphabet with country names; phonetic correspondences"
cmhhz9eeb01atl404uo5sr7y0,LH-NACLO-2025-F,NACLO 2025 Problem F,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-F-problem.pdf,3,other,"logical-reasoning,pattern-recognition,cipher,multi-step","Chatbot systematic errors; cipher + acronyms; LLM limitations pattern"
cmhhz9jqd01axl404pkbwltr3,LH-NACLO-2025-G,NACLO 2025 Problem G,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-G-problem.pdf,3,morphology-noun,"pattern-recognition,niger-congo,africa,multi-step","Sakata Bantu noun classes; agreement patterns; number system with classifier-like behavior"
cmhhz9p8m01b1l404d2x7v99v,LH-NACLO-2025-H,NACLO 2025 Problem H,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-H-problem.pdf,4,number-systems,"reconstruction,logical-reasoning,isolate,europe,ancient","Proto-Basque number etymology; historical reconstruction; body-part counting; sound changes"
cmhhz9ukn01b5l404f1l99rs9,LH-NACLO-2025-I,NACLO 2025 Problem I,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-I-problem.pdf,3,writing-systems,"pattern-recognition,correspondence,ancient,extinct,middle-east","Cuneiform script evolution; Sumerian to Assyrian diachronic changes; pattern matching"
cmhhza03501b9l404harhsv9b,LH-NACLO-2025-J,NACLO 2025 Problem J,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-J-problem.pdf,3,morphology-noun,"pattern-recognition,segmentation,uralic,asia,rare-language","Nganasan derivational noun morphology; plural and derived noun formation"
cmhhza5f601bdl40467quqaj1,LH-NACLO-2025-K,NACLO 2025 Problem K,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-K-problem.pdf,4,other,"logical-reasoning,multi-step,complex-data","Word embeddings and classifiers; computational linguistics; vector operations; 15 points"
cmhhzaar601bhl40473mkfxlm,LH-NACLO-2025-L,NACLO 2025 Problem L,NACLO,2025,3,/olympiad-problems/NACLO/by-year/2025/naclo-2025-L-problem.pdf,4,phonology,"pattern-recognition,rule-discovery,native-american,americas,unusual-feature","Kickapoo whistle speech; prosody and stress mapping to pitch; complex phonological rules"
cmhhzag9601bll404tk20xp2h,LH-NACLO-2025-M,NACLO 2025 Problem M,NACLO,2025,4,/olympiad-problems/NACLO/by-year/2025/naclo-2025-M-problem.pdf,4,phonology,"pattern-recognition,rule-discovery,indo-european,europe","Irish initial consonant mutation; morphophonology; lenition triggered by syntax; 10 points"
cmhhzall501bpl404nxqprqaq,LH-NACLO-2025-N,NACLO 2025 Problem N,NACLO,2025,4,/olympiad-problems/NACLO/by-year/2025/naclo-2025-N-problem.pdf,3,morphology-verb,"pattern-recognition,segmentation,austronesian,asia,rare-language","Nancowry derivational verb morphology; causative and passive affixes; 10 points"
cmhhzatbm01btl40420o7tpmm,LH-NACLO-2025-O,NACLO 2025 Problem O,NACLO,2025,4,/olympiad-problems/NACLO/by-year/2025/naclo-2025-O-problem.pdf,4,other,"logical-reasoning,multi-step,complex-data,cultural-context","Vaupés linguistic exogamy; sociolinguistics and kinship; logical deduction; 10 points"
cmhhzaynr01bxl404kf2xystv,LH-NACLO-2025-P,NACLO 2025 Problem P,NACLO,2025,4,/olympiad-problems/NACLO/by-year/2025/naclo-2025-P-problem.pdf,3,morphology-verb,"pattern-recognition,segmentation,papuan,oceania,rare-language","Kwomtari verb morphology; TAM + person/number marking; complex affix ordering; 15 points"
